CCG,DRUGNAME,YEARMONTH,TOTAL
BOLTON,Donepezil,2014-01-01,11019.0
BOLTON,Donepezil,2014-02-01,10752.0
BOLTON,Donepezil,2014-03-01,11235.0
BOLTON,Donepezil,2014-04-01,11342.0
BOLTON,Donepezil,2014-05-01,11368.0
BOLTON,Donepezil,2014-06-01,12360.0
BOLTON,Donepezil,2014-07-01,12326.0
BOLTON,Donepezil,2014-08-01,11605.0
BOLTON,Donepezil,2014-09-01,13071.0
BOLTON,Donepezil,2014-10-01,12558.0
BOLTON,Donepezil,2014-11-01,11089.0
BOLTON,Donepezil,2014-12-01,12031.0
BOLTON,Donepezil,2015-01-01,12055.0
BOLTON,Donepezil,2015-02-01,9990.0
BOLTON,Donepezil,2015-03-01,10969.0
BOLTON,Donepezil,2015-04-01,11851.0
BOLTON,Donepezil,2015-05-01,10283.0
BOLTON,Donepezil,2015-06-01,12093.0
BOLTON,Donepezil,2015-07-01,12390.0
BOLTON,Donepezil,2015-08-01,11620.0
BOLTON,Donepezil,2015-09-01,12344.0
BOLTON,Donepezil,2015-10-01,13954.0
BOLTON,Donepezil,2015-11-01,12310.0
BOLTON,Donepezil,2015-12-01,14578.0
BOLTON,Donepezil,2016-01-01,12848.0
BOLTON,Donepezil,2016-02-01,13568.0
BOLTON,Donepezil,2016-03-01,13773.0
BOLTON,Donepezil,2016-04-01,14334.0
BOLTON,Donepezil,2016-05-01,13797.0
BOLTON,Donepezil,2016-06-01,14346.0
BOLTON,Donepezil,2016-07-01,13385.0
BOLTON,Donepezil,2016-08-01,14912.0
BOLTON,Donepezil,2016-09-01,14453.0
BOLTON,Donepezil,2016-10-01,14245.0
BOLTON,Donepezil,2016-11-01,14981.0
BOLTON,Donepezil,2016-12-01,14163.0
BOLTON,Donepezil,2017-01-01,15142.0
BOLTON,Donepezil,2017-02-01,13006.0
BOLTON,Donepezil,2017-03-01,15002.0
BOLTON,Donepezil,2017-04-01,13501.0
BOLTON,Donepezil,2017-05-01,14539.0
BOLTON,Donepezil,2017-06-01,15063.0
BOLTON,Donepezil,2017-07-01,14497.0
BOLTON,Donepezil,2017-08-01,15055.0
BOLTON,Donepezil,2017-09-01,15034.0
BOLTON,Donepezil,2017-10-01,15833.0
BOLTON,Donepezil,2017-11-01,15956.0
BOLTON,Donepezil,2017-12-01,15110.0
BOLTON,Donepezil,2018-01-01,15862.0
BOLTON,Donepezil,2018-02-01,13485.0
BOLTON,Donepezil,2018-03-01,15624.0
BOLTON,Donepezil,2018-04-01,15190.0
BOLTON,Donepezil,2018-05-01,15314.0
BOLTON,Donepezil,2018-06-01,15637.0
BOLTON,Donepezil,2018-07-01,16939.0
BOLTON,Donepezil,2018-08-01,15267.0
BOLTON,Donepezil,2018-09-01,14712.0
BOLTON,Donepezil,2018-10-01,17421.0
BOLTON,Donepezil,2018-11-01,16512.0
BOLTON,Donepezil,2018-12-01,15525.0
BOLTON,Donepezil,2019-01-01,16021.0
BOLTON,Donepezil,2019-02-01,15317.0
BOLTON,Donepezil,2019-03-01,15899.0
BOLTON,Donepezil,2019-04-01,16828.0
BOLTON,Donepezil,2019-05-01,16940.0
BOLTON,Donepezil,2019-06-01,14999.0
BOLTON,Donepezil,2019-07-01,16151.0
BOLTON,Donepezil,2019-08-01,17111.0
BOLTON,Donepezil,2019-09-01,15098.0
BOLTON,Donepezil,2019-10-01,17101.0
BOLTON,Donepezil,2019-11-01,15697.0
BOLTON,Donepezil,2019-12-01,16267.0
BOLTON,Donepezil,2020-01-01,15857.0
BOLTON,Donepezil,2020-02-01,14559.0
BOLTON,Donepezil,2020-03-01,16197.0
BOLTON,Donepezil,2020-04-01,16338.0
BOLTON,Donepezil,2020-05-01,15463.0
BOLTON,Donepezil,2020-06-01,14690.0
BOLTON,Donepezil,2020-07-01,14205.0
BOLTON,Donepezil,2020-08-01,15752.0
BOLTON,Donepezil,2020-09-01,14862.0
BOLTON,Donepezil,2020-10-01,15123.0
BOLTON,Donepezil,2020-11-01,14801.0
BOLTON,Donepezil,2020-12-01,16965.0
BOLTON,Galantamine,2014-01-01,3612.0
BOLTON,Galantamine,2014-02-01,3253.0
BOLTON,Galantamine,2014-03-01,3891.0
BOLTON,Galantamine,2014-04-01,3047.0
BOLTON,Galantamine,2014-05-01,3640.0
BOLTON,Galantamine,2014-06-01,3193.0
BOLTON,Galantamine,2014-07-01,3283.0
BOLTON,Galantamine,2014-08-01,3534.0
BOLTON,Galantamine,2014-09-01,2958.0
BOLTON,Galantamine,2014-10-01,3633.0
BOLTON,Galantamine,2014-11-01,2891.0
BOLTON,Galantamine,2014-12-01,3474.0
BOLTON,Galantamine,2015-01-01,2776.0
BOLTON,Galantamine,2015-02-01,3028.0
BOLTON,Galantamine,2015-03-01,2970.0
BOLTON,Galantamine,2015-04-01,3091.0
BOLTON,Galantamine,2015-05-01,3217.0
BOLTON,Galantamine,2015-06-01,3947.0
BOLTON,Galantamine,2015-07-01,3440.0
BOLTON,Galantamine,2015-08-01,2785.0
BOLTON,Galantamine,2015-09-01,3388.0
BOLTON,Galantamine,2015-10-01,3386.0
BOLTON,Galantamine,2015-11-01,3328.0
BOLTON,Galantamine,2015-12-01,3385.0
BOLTON,Galantamine,2016-01-01,3619.0
BOLTON,Galantamine,2016-02-01,3075.0
BOLTON,Galantamine,2016-03-01,3738.0
BOLTON,Galantamine,2016-04-01,3082.0
BOLTON,Galantamine,2016-05-01,3378.0
BOLTON,Galantamine,2016-06-01,3504.0
BOLTON,Galantamine,2016-07-01,3880.0
BOLTON,Galantamine,2016-08-01,3948.0
BOLTON,Galantamine,2016-09-01,3591.0
BOLTON,Galantamine,2016-10-01,4163.0
BOLTON,Galantamine,2016-11-01,3831.0
BOLTON,Galantamine,2016-12-01,4299.0
BOLTON,Galantamine,2017-01-01,3576.0
BOLTON,Galantamine,2017-02-01,3621.0
BOLTON,Galantamine,2017-03-01,4170.0
BOLTON,Galantamine,2017-04-01,3731.0
BOLTON,Galantamine,2017-05-01,4027.0
BOLTON,Galantamine,2017-06-01,4395.0
BOLTON,Galantamine,2017-07-01,3832.0
BOLTON,Galantamine,2017-08-01,4237.0
BOLTON,Galantamine,2017-09-01,4265.0
BOLTON,Galantamine,2017-10-01,4214.0
BOLTON,Galantamine,2017-11-01,4363.0
BOLTON,Galantamine,2017-12-01,4209.0
BOLTON,Galantamine,2018-01-01,4057.0
BOLTON,Galantamine,2018-02-01,3934.0
