Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Year
93476,Percentage of deaths that occur at home,E92000001,England,E08000001,Bolton,County & UA,Persons,All ages,,,2009,18.7030447,17.2311909,20.2698322,16.4262649,21.2152908,473.0,2529.0,,,Lower,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000002,Bury,District & UA,Persons,65-74 yrs,,,2009,29.8657718,24.9525603,35.2914696,22.4021029,38.5797924,89.0,298.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000001,Bolton,District & UA,Persons,65-74 yrs,,,2009,23.4408602,19.8177003,27.4992454,17.9421372,30.008502,109.0,465.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000010,Wigan,District & UA,Persons,85+ yrs,,,2009,10.4477612,8.587105,12.6557679,7.6625526,14.0908556,91.0,871.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000009,Trafford,District & UA,Persons,85+ yrs,,,2009,14.2635659,11.7760739,17.1742122,10.5289565,19.0409271,92.0,645.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000008,Tameside,District & UA,Persons,85+ yrs,,,2009,9.2879257,7.2839487,11.7732317,6.3278199,13.4341552,60.0,646.0,,,Lower,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000007,Stockport,District & UA,Persons,85+ yrs,,,2009,10.0775194,8.2800835,12.2131854,7.3876305,13.6029599,91.0,903.0,,,Lower,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000006,Salford,District & UA,Persons,85+ yrs,,,2009,11.8055556,9.6488698,14.3676405,8.5800977,16.0309159,85.0,720.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000005,Rochdale,District & UA,Persons,85+ yrs,,,2009,8.318264,6.2941401,10.917484,5.3588573,12.6928038,46.0,553.0,,,Lower,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000004,Oldham,District & UA,Persons,85+ yrs,,,2009,9.5310136,7.5205559,12.0091315,6.5560191,13.6586747,63.0,661.0,,,Lower,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000003,Manchester,District & UA,Persons,85+ yrs,,,2009,12.1242485,10.2430625,14.2958959,9.2852704,15.6811979,121.0,998.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000002,Bury,District & UA,Persons,85+ yrs,,,2009,11.5,9.1886372,14.3012138,8.0647921,16.1415319,69.0,600.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000001,Bolton,District & UA,Persons,85+ yrs,,,2009,10.8508015,8.8918965,13.1788335,7.9203489,14.6924889,88.0,811.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000010,Wigan,District & UA,Persons,All ages,,,2009,20.652921,19.2212572,22.1619641,18.4317182,23.0661061,601.0,2910.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000009,Trafford,District & UA,Persons,All ages,,,2009,21.6275259,19.8021941,23.57166,18.805551,24.7439173,396.0,1831.0,,,Similar,Not compared,20090000,,,2009-01-01
93476,Percentage of deaths that occur at home,E92000001,England,E08000008,Tameside,District & UA,Persons,All ages,,,2009,18.2478438,16.6907134,19.9155165,15.8437258,20.9260514,402.0,2203.0,,,Lower,Not compared,20090000,,,2009-01-01
