,LatestChangeTimestampOverride,SpecialCases,AlwaysShowSexWithIndicatorName,AlwaysShowAgeWithIndicatorName,Unit,YearType,ValueType,ConfidenceIntervalMethod,IID,Descriptive,Target
108,,,False,False,"{'Id': 3, 'Value': 100000.0, 'Label': 'per 100,000'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 1, 'Name': 'Directly standardised rate'}","{'Id': 4, 'Name': ""Dobson & Byar's methods"", 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. \xa0A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>Dobson & Byar’s method is used for calculating confidence intervals for directly standardised rates. A confidence interval is calculated for the observed total count of events using Byar’s method,<sup>1</sup> which gives very accurate approximate confidence intervals for counts based on the assumption of a Poisson distribution and is sufficiently accurate for counts as low as 10, the minimum count recommended for DSRs. \xa0This interval is then weighted and scaled to give the interval for the standardised rate using the method described by Dobson.<sup>2</sup> \xa0The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>3</sup></p><br><p><sup>1</sup> Breslow NE, Day NE. <i>Statistical methods in cancer research, volume II: The design and analysis of cohort studies.</i> Lyon: International Agency for Research on Cancer, World Health Organization; 1987:69.<br><sup>2</sup> Dobson A et al. <i>Confidence intervals for weighted sums of Poisson parameters.</i> Stat Med 1991;10:457-62.<br><sup>3</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",108,"{'Name': 'Under 75 mortality rate from all causes', 'DataSource': 'Public Health England (based on ONS source data)'}",
113,,,False,False,"{'Id': 3, 'Value': 100000.0, 'Label': 'per 100,000'}","{'Id': 1, 'Name': 'Calendar'}","{'Id': 1, 'Name': 'Directly standardised rate'}","{'Id': 22, 'Name': ""Byar's method (no small number correction)"", 'Description': None}",113,"{'Name': 'Smoking attributable mortality', 'DataSource': 'ONS mortality file, ONS LSOA single year of age population estimates and smoking status from Integrated Household Survey/Annual Population Survey, relative risks from The Information Centre for Health and Social Care, Statistics on Smoking, England 2010.'}",
114,,,False,False,"{'Id': 19, 'Value': 1.0, 'Label': ''}","{'Id': 2, 'Name': 'Financial'}","{'Id': 7, 'Name': 'Count'}","{'Id': 99, 'Name': 'No confidence intervals available', 'Description': None}",114,"{'Name': 'QOF Total List Size', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
200,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",200,"{'Name': 'Learning disability: QOF prevalence', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
212,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",212,"{'Name': 'Stroke: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
219,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",219,"{'Name': 'Hypertension: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
224,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",224,"{'Name': 'Epilepsy: QOF prevalence (18+)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
241,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",241,"{'Name': 'Diabetes: QOF prevalence (17+)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
247,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",247,"{'Name': 'Dementia: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
248,,,False,False,"{'Id': 5, 'Value': 100.0, 'Label': '%'}","{'Id': 2, 'Name': 'Financial'}","{'Id': 5, 'Name': 'Proportion'}","{'Id': 1, 'Name': 'Wilson Score method', 'Description': '<p>A confidence interval is a range of values that is used to quantify the imprecision in the estimate of a particular indicator. \xa0Specifically it quantifies the imprecision that results from random variation in the measurement of the indicator. A wider confidence interval shows that the indicator value presented is likely to be a less precise estimate of the true underlying value.</p><br><p>The Wilson Score method<sup>1</sup> gives very accurate approximate confidence intervals for proportions and odds based on the assumption of a Binomial distribution. It can be used with any data values, even when the denominator is very small and, unlike some methods, it does not fail to give an interval when the numerator count, and therefore the proportion, is zero. \xa0The Wilson Score method is the preferred method for calculating confidence intervals for proportions and odds, but it can also be used for rates, as long as the event rate is low (relatively rare events within the population) as the Binomial distribution is a very good approximation to the Poisson distribution when the event rate is low. The method is described in detail in APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals.<sup>2</sup></p><br><p><sup>1</sup> Wilson EB. Probable inference, the law of succession, and statistical inference. <i>J Am Stat Assoc</i> 1927;22:209-12.<br><sup>2</sup> Eayres D. <i><a href=""/documents/APHO%20Tech%20Briefing%203%20Common%20PH%20Stats%20and%20CIs.pdf"">APHO Technical Briefing 3: Commonly used public health statistics and their confidence intervals</a></i> York: APHO; 2008. </p>'}",248,"{'Name': 'Personalised Care Adjustment (PCA) rate for dementia indicators', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}",
