Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Year
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA,Persons,All ages,,,2011,4.37456917121799,,,,,825.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000004,Oldham,District & UA (4/19-3/20),Persons,All ages,,,2011,5.6088864509051,,,,,818.0,14584.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000003,Manchester,District & UA (4/19-3/20),Persons,All ages,,,2011,7.72500542181739,,,,,1781.0,23055.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000002,Bury,District & UA (4/19-3/20),Persons,All ages,,,2011,6.29285387779979,,,,,826.0,13126.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000001,Bolton,District & UA (4/19-3/20),Persons,All ages,,,2011,4.37456917121799,,,,,825.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA (4/19-3/20),Persons,All ages,,,2011,4.37456917121799,,,,,825.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000002,Bury,County & UA (4/19-3/20),Persons,All ages,,,2011,6.29285387779979,,,,,826.0,13126.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000003,Manchester,County & UA (4/19-3/20),Persons,All ages,,,2011,7.72500542181739,,,,,1781.0,23055.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000004,Oldham,County & UA (4/19-3/20),Persons,All ages,,,2011,5.6088864509051,,,,,818.0,14584.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,County & UA (4/19-3/20),Persons,All ages,,,2011,5.49473983508672,,,,,773.0,14068.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000006,Salford,County & UA (4/19-3/20),Persons,All ages,,,2011,6.2663518601238,,,,,982.0,15671.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA (4/19-3/20),Persons,All ages,,,2011,5.3159012476772,,,,,801.0,15068.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000009,Trafford,County & UA (4/19-3/20),Persons,All ages,,,2011,2.49534240388415,,,,,442.0,17713.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000010,Wigan,County & UA (4/19-3/20),Persons,All ages,,,2011,4.86983735596757,,,,,1027.0,21089.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,4.37456917121799,,,,,825.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000002,Bury,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,6.29285387779979,,,,,826.0,13126.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000003,Manchester,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,7.72500542181739,,,,,1781.0,23055.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000004,Oldham,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,5.6088864509051,,,,,818.0,14584.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,5.49473983508672,,,,,773.0,14068.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000006,Salford,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,6.26635186012379,,,,,982.0,15671.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000007,Stockport,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,3.60282639060061,,,,,877.0,24342.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA (4/19-3/20),Persons,75+ yrs,,,2011,5.3159012476772,,,,,801.0,15068.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,District & UA (4/19-3/20),Persons,All ages,,,2011,5.49473983508672,,,,,773.0,14068.0,,,Not compared,Not compared,20110000,,,2011-01-01
92490,Nursing home beds per 100 people 75+,E92000001,England,E08000006,Salford,District & UA (4/19-3/20),Persons,All ages,,,2011,6.2663518601238,,,,,982.0,15671.0,,,Not compared,Not compared,20110000,,,2011-01-01
