Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Year
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000001,Bolton,County & UA,Persons,All ages,,,2009,15.0257019,13.6861647,16.4713272,12.961732,17.3528049,380.0,2529.0,,,Lower,Not compared,20090000,,,2009-01-01
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000002,Bury,District & UA,Persons,65-74 yrs,,,2009,4.0268456,2.3182861,6.9055822,1.7076343,9.2010265,12.0,298.0,,,Similar,Not compared,20090000,,,2009-01-01
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000001,Bolton,District & UA,Persons,65-74 yrs,,,2009,4.9462366,3.3182573,7.3125131,2.6461341,9.0596061,23.0,465.0,,,Similar,Not compared,20090000,,,2009-01-01
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000010,Wigan,District & UA,Persons,85+ yrs,,,2009,26.7508611,23.9178926,29.788005,22.3862828,31.6197119,233.0,871.0,,,Lower,Not compared,20090000,,,2009-01-01
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000009,Trafford,District & UA,Persons,85+ yrs,,,2009,18.4496124,15.6459713,21.6268409,14.2021763,23.6176559,119.0,645.0,,,Lower,Not compared,20090000,,,2009-01-01
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000008,Tameside,District & UA,Persons,85+ yrs,,,2009,21.3622291,18.3757209,24.6873147,16.8150096,26.7437941,138.0,646.0,,,Lower,Not compared,20090000,,,2009-01-01
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000007,Stockport,District & UA,Persons,85+ yrs,,,2009,28.1284607,25.293243,31.1489779,23.7521086,32.96257,254.0,903.0,,,Lower,Not compared,20090000,,,2009-01-01
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000006,Salford,District & UA,Persons,85+ yrs,,,2009,22.7777778,19.8635383,25.9809563,18.3225593,27.9456541,164.0,720.0,,,Lower,Not compared,20090000,,,2009-01-01
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000005,Rochdale,District & UA,Persons,85+ yrs,,,2009,33.8155515,29.9962864,37.8581186,27.9203925,40.2601874,187.0,553.0,,,Similar,Not compared,20090000,,,2009-01-01
93475,Percentage of deaths that occur in care homes,E92000001,England,E08000004,Oldham,District & UA,Persons,85+ yrs,,,2009,27.0801815,23.8321887,30.5930361,22.0935226,32.7196591,179.0,661.0,,,Lower,Not compared,20090000,,,2009-01-01
