Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Year
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000001,Bolton,County & UA,Persons,65+ yrs,,,2016,65.36585366,60.63685277,69.8095893,,,268.0,410.0,,,Higher,Not compared,20160000,,,2016-01-01
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000006,Salford,County & UA (pre 4/19),Persons,65+ yrs,,,2016,48.74371859,43.86858675,53.64286963,,,194.0,398.0,,,Lower,Not compared,20160000,,,2016-01-01
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000005,Rochdale,County & UA (pre 4/19),Persons,65+ yrs,,,2016,62.3853211,57.01968245,67.46334344,,,204.0,327.0,,,Similar,Not compared,20160000,,,2016-01-01
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000004,Oldham,County & UA (pre 4/19),Persons,65+ yrs,,,2016,51.68539326,46.50420909,56.83059286,,,184.0,356.0,,,Lower,Not compared,20160000,,,2016-01-01
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000003,Manchester,County & UA (pre 4/19),Persons,65+ yrs,,,2016,48.54771784,44.11504794,53.0033536,,,234.0,482.0,,,Lower,Not compared,20160000,,,2016-01-01
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000002,Bury,County & UA (pre 4/19),Persons,65+ yrs,,,2016,60.23054755,54.99605708,65.24100391,,,209.0,347.0,,,Similar,Not compared,20160000,,,2016-01-01
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000001,Bolton,County & UA (pre 4/19),Persons,65+ yrs,,,2016,65.36585366,60.63685277,69.8095893,,,268.0,410.0,,,Higher,Not compared,20160000,,,2016-01-01
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000009,Trafford,County & UA (pre 4/19),Persons,65+ yrs,,,2016,48.87640449,43.72359371,54.05320499,,,174.0,356.0,,,Lower,Not compared,20160000,,,2016-01-01
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000010,Wigan,County & UA (pre 4/19),Persons,65+ yrs,,,2016,57.31707317,52.90644377,61.61432668,,,282.0,492.0,,,Similar,Not compared,20160000,,,2016-01-01
91893,Place of death - care home: People with dementia (aged 65 years and over),E92000001,England,E08000007,Stockport,County & UA (pre 4/19),Persons,65+ yrs,,,2016,56.30885122,52.0597015,60.46737524,,,299.0,531.0,,,Similar,Not compared,20160000,,,2016-01-01
