Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Year
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000001,Bolton,County & UA,Persons,65+ yrs,,,2016,8.292682927,5.994837896,11.36481936,,,34.0,410.0,,,Similar,Not compared,20160000,,,2016-01-01
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000006,Salford,County & UA (pre 4/19),Persons,65+ yrs,,,2016,8.542713568,6.177518152,11.70054227,,,34.0,398.0,,,Similar,Not compared,20160000,,,2016-01-01
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000005,Rochdale,County & UA (pre 4/19),Persons,65+ yrs,,,2016,7.339449541,4.981394184,10.68818332,,,24.0,327.0,,,Similar,Not compared,20160000,,,2016-01-01
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000004,Oldham,County & UA (pre 4/19),Persons,65+ yrs,,,2016,10.39325843,7.634747317,13.99740676,,,37.0,356.0,,,Similar,Not compared,20160000,,,2016-01-01
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000003,Manchester,County & UA (pre 4/19),Persons,65+ yrs,,,2016,10.37344398,7.957401126,13.41612658,,,50.0,482.0,,,Similar,Not compared,20160000,,,2016-01-01
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000002,Bury,County & UA (pre 4/19),Persons,65+ yrs,,,2016,7.204610951,4.927328235,10.41905044,,,25.0,347.0,,,Similar,Not compared,20160000,,,2016-01-01
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000001,Bolton,County & UA (pre 4/19),Persons,65+ yrs,,,2016,8.292682927,5.994837896,11.36481936,,,34.0,410.0,,,Similar,Not compared,20160000,,,2016-01-01
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000009,Trafford,County & UA (pre 4/19),Persons,65+ yrs,,,2016,9.550561798,6.915073086,13.04968002,,,34.0,356.0,,,Similar,Not compared,20160000,,,2016-01-01
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000010,Wigan,County & UA (pre 4/19),Persons,65+ yrs,,,2016,5.691056911,3.966489758,8.102178111,,,28.0,492.0,,,Lower,Not compared,20160000,,,2016-01-01
91895,Place of death - home: People with dementia (aged 65 years and over),E92000001,England,E08000007,Stockport,County & UA (pre 4/19),Persons,65+ yrs,,,2016,8.474576271,6.393769732,11.15188932,,,45.0,531.0,,,Similar,Not compared,20160000,,,2016-01-01
