DATE,CCG,COUNT
2018-08-31,Bolton,189
2018-08-31,Bury,165
2018-08-31,"Heywood, Middleton and Rochdale",134
2018-08-31,Manchester,153
2018-08-31,Oldham,110
2018-08-31,Salford,113
2018-08-31,Stockport,140
2018-08-31,Tameside and Glossop,169
2018-08-31,Trafford,58
2018-08-31,Wigan Borough,139
2018-09-30,Bolton,197
2018-09-30,Bury,159
2018-09-30,"Heywood, Middleton and Rochdale",109
2018-09-30,Manchester,144
2018-09-30,Oldham,93
2018-09-30,Salford,112
2018-09-30,Stockport,130
2018-09-30,Tameside and Glossop,176
2018-09-30,Trafford,41
2018-09-30,Wigan Borough,144
2018-10-31,Bolton,200
2018-10-31,Bury,143
2018-10-31,"Heywood, Middleton and Rochdale",133
2018-10-31,Manchester,144
2018-10-31,Oldham,92
2018-10-31,Salford,111
2018-10-31,Stockport,149
2018-10-31,Tameside and Glossop,161
2018-10-31,Trafford,43
2018-10-31,Wigan Borough,135
2018-11-30,Bolton,179
2018-11-30,Bury,157
2018-11-30,"Heywood, Middleton and Rochdale",135
2018-11-30,Manchester,133
2018-11-30,Oldham,107
2018-11-30,Salford,109
2018-11-30,Stockport,171
2018-11-30,Tameside and Glossop,164
2018-11-30,Trafford,44
2018-11-30,Wigan Borough,136
2018-12-31,Bolton,172
2018-12-31,Bury,147
2018-12-31,"Heywood, Middleton and Rochdale",128
2018-12-31,Manchester,116
2018-12-31,Oldham,116
2018-12-31,Salford,106
2018-12-31,Stockport,173
2018-12-31,Tameside and Glossop,171
2018-12-31,Trafford,44
2018-12-31,Wigan Borough,132
2019-01-31,Bolton,166
2019-01-31,Bury,137
2019-01-31,"Heywood, Middleton and Rochdale",146
2019-01-31,Manchester,115
2019-01-31,Oldham,104
2019-01-31,Salford,98
2019-01-31,Stockport,162
2019-01-31,Tameside and Glossop,144
2019-01-31,Trafford,39
2019-01-31,Wigan Borough,119
2019-02-28,Bolton,152
2019-02-28,Bury,133
2019-02-28,"Heywood, Middleton and Rochdale",150
2019-02-28,Manchester,96
2019-02-28,Oldham,105
2019-02-28,Salford,73
2019-02-28,Stockport,171
2019-02-28,Tameside and Glossop,136
2019-02-28,Trafford,42
2019-02-28,Wigan Borough,127
2019-03-31,Bolton,178
2019-03-31,Bury,143
2019-03-31,"Heywood, Middleton and Rochdale",142
2019-03-31,Manchester,129
2019-03-31,Oldham,117
2019-03-31,Salford,109
2019-03-31,Stockport,168
2019-03-31,Tameside and Glossop,149
2019-03-31,Trafford,34
2019-03-31,Wigan Borough,132
2019-04-30,Bolton,160
2019-04-30,Bury,145
2019-04-30,"Heywood, Middleton and Rochdale",145
2019-04-30,Manchester,110
2019-04-30,Oldham,115
2019-04-30,Salford,100
2019-04-30,Stockport,155
2019-04-30,Tameside and Glossop,130
2019-04-30,Trafford,35
2019-04-30,Wigan Borough,105
2019-05-31,Bolton,175
2019-05-31,Bury,145
2019-05-31,"Heywood, Middleton and Rochdale",165
2019-05-31,Manchester,110
2019-05-31,Oldham,110
2019-05-31,Salford,110
2019-05-31,Stockport,160
2019-05-31,Tameside and Glossop,150
2019-05-31,Trafford,40
2019-05-31,Wigan Borough,115
2019-06-30,Bolton,140
2019-06-30,Bury,140
2019-06-30,"Heywood, Middleton and Rochdale",165
2019-06-30,Manchester,135
2019-06-30,Oldham,115
2019-06-30,Salford,105
2019-06-30,Stockport,165
2019-06-30,Tameside and Glossop,145
2019-06-30,Trafford,40
2019-06-30,Wigan Borough,130
2019-07-31,Bolton,140
2019-07-31,Bury,175
2019-07-31,"Heywood, Middleton and Rochdale",165
2019-07-31,Manchester,145
2019-07-31,Oldham,110
2019-07-31,Salford,110
2019-07-31,Stockport,165
2019-07-31,Tameside and Glossop,155
2019-07-31,Trafford,30
2019-07-31,Wigan Borough,120
2019-08-31,Bolton,170
2019-08-31,Bury,165
2019-08-31,"Heywood, Middleton and Rochdale",170
2019-08-31,Manchester,145
2019-08-31,Oldham,120
2019-08-31,Salford,105
2019-08-31,Stockport,155
2019-08-31,Tameside and Glossop,150
2019-08-31,Trafford,35
2019-08-31,Wigan Borough,155
2019-09-30,Bolton,165
2019-09-30,Bury,160
2019-09-30,"Heywood, Middleton and Rochdale",165
2019-09-30,Manchester,120
2019-09-30,Oldham,145
2019-09-30,Salford,100
2019-09-30,Stockport,160
2019-09-30,Tameside and Glossop,145
2019-09-30,Trafford,35
2019-09-30,Wigan Borough,115
2019-10-31,Bolton,155
2019-10-31,Bury,165
2019-10-31,"Heywood, Middleton and Rochdale",165
2019-10-31,Manchester,135
2019-10-31,Oldham,105
2019-10-31,Salford,110
2019-10-31,Stockport,160
2019-10-31,Tameside and Glossop,150
2019-10-31,Trafford,40
2019-10-31,Wigan Borough,145
2019-11-30,Bolton,130
2019-11-30,Bury,185
2019-11-30,"Heywood, Middleton and Rochdale",155
2019-11-30,Manchester,145
2019-11-30,Oldham,105
2019-11-30,Salford,105
2019-11-30,Stockport,160
2019-11-30,Tameside and Glossop,135
2019-11-30,Trafford,40
2019-11-30,Wigan Borough,120
2019-12-31,Bolton,170
2019-12-31,Bury,165
2019-12-31,"Heywood, Middleton and Rochdale",150
2019-12-31,Manchester,115
2019-12-31,Oldham,115
