,Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Year
312,92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA,Persons,75+ yrs,,,2011,8.86579352033512,,,,,1672.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
647,92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,District & UA,Persons,75+ yrs,,,2011,13.5989638884656,,,,,1785.0,13126.0,,,Not compared,Not compared,20110000,,,2011-01-01
648,92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,District & UA,Persons,75+ yrs,,,2011,12.7044025157233,,,,,2929.0,23055.0,,,Not compared,Not compared,20110000,,,2011-01-01
649,92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,District & UA,Persons,75+ yrs,,,2011,12.9182665935272,,,,,1884.0,14584.0,,,Not compared,Not compared,20110000,,,2011-01-01
650,92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,District & UA,Persons,75+ yrs,,,2011,12.1978959340347,,,,,1716.0,14068.0,,,Not compared,Not compared,20110000,,,2011-01-01
651,92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,District & UA,Persons,75+ yrs,,,2011,11.4606598174973,,,,,1796.0,15671.0,,,Not compared,Not compared,20110000,,,2011-01-01
652,92489,Care home beds per 100 people 75+,E92000001,England,E08000007,Stockport,District & UA,Persons,75+ yrs,,,2011,9.41171637498973,,,,,2291.0,24342.0,,,Not compared,Not compared,20110000,,,2011-01-01
653,92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,District & UA,Persons,75+ yrs,,,2011,11.8927528537298,,,,,1792.0,15068.0,,,Not compared,Not compared,20110000,,,2011-01-01
654,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,District & UA,Persons,75+ yrs,,,2011,6.88195110935471,,,,,1219.0,17713.0,,,Not compared,Not compared,20110000,,,2011-01-01
655,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,District & UA,Persons,75+ yrs,,,2011,9.2085921570487,,,,,1942.0,21089.0,,,Not compared,Not compared,20110000,,,2011-01-01
659,92489,Care home beds per 100 people 75+,E92000001,England,E08000010,Wigan,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,9.2085921570487,,,,,1942.0,21089.0,,,Not compared,Not compared,20110000,,,2011-01-01
658,92489,Care home beds per 100 people 75+,E92000001,England,E08000009,Trafford,District & UA (4/19-3/20),Persons,75+ yrs,,,2011,6.88195110935471,,,,,1219.0,17713.0,,,Not compared,Not compared,20110000,,,2011-01-01
