Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Belong Morris Feinmann,178 Palatine Road,,Manchester,Lancashire,M20 2UW,1618504030.0,1-101641683,1-3924984564,,Manchester,North West,2021-03-02T00:00:00Z,http://www.cqc.org.uk/location/1-3924984564,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Belong Limited
Bankfield,Gigg Lane,,Bury,Lancashire,BL9 9HQ,1617648552.0,1-7728962746,1-8087696419,,Bury,North West,2019-07-17T23:00:00Z,http://www.cqc.org.uk/location/1-8087696419,,"Dementia,Caring for adults over 65 yrs",Residential homes,KR Care Homes Limited
Arbour Court,Buxton Lane,Marple,Stockport,Greater Manchester,SK6 7QL,1614278599.0,1-102642955,1-125862149,http://www.barchester.com,Stockport,North West,2019-10-31T00:00:00Z,http://www.cqc.org.uk/location/1-125862149,,"Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Barchester Healthcare Homes Limited
The Coppice,51 Wellington Road,,Altrincham,Cheshire,WA15 7RQ,1619294178.0,1-102642772,1-120634876,http://www.efitzroy.org.uk,Trafford,North West,2020-08-26T23:00:00Z,http://www.cqc.org.uk/location/1-120634876,,"Sensory impairments,Learning disabilities,Physical disabilities",Residential homes,FitzRoy Support
Springbank Rest Home,143 Rochdale Road East,,Heywood,Lancashire,OL10 1QU,1706254272.0,1-101688462,1-126702243,,Rochdale,North West,2021-02-27T00:00:00Z,http://www.cqc.org.uk/location/1-126702243,,Caring for adults over 65 yrs,Residential homes,Antoni & Rienzie Limited
Hurstead House Care Home,631 Halifax Road,,Rochdale,Lancashire,OL12 9QU,1706379511.0,1-681240037,1-699256923,http://www.hursteadhouse.co.uk,Rochdale,North West,2021-02-27T00:00:00Z,http://www.cqc.org.uk/location/1-699256923,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Sevaline Care Homes Limited
Beechville,653 Chorley New Road,Lostock,Bolton,Lancashire,BL6 4AG,1204467480.0,1-102642904,1-117977132,http://www.mha.org.uk/care-homes/dementia-care/beechville,Bolton,North West,2021-02-27T00:00:00Z,http://www.cqc.org.uk/location/1-117977132,,"Dementia,Learning disabilities,Caring for adults over 65 yrs",Residential homes,Methodist Homes
Carders Court Care Home,23 Ivor Street,,Rochdale,Lancashire,OL11 3JA,1706712377.0,1-4521210418,1-6354316294,,Rochdale,North West,2019-09-17T23:00:00Z,http://www.cqc.org.uk/location/1-6354316294,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Wellington Healthcare (Arden) Ltd
Abbey Grove Residential Home,2-4 Abbey Grove,Eccles,Manchester,Greater Manchester,M30 9QN,1617890425.0,1-101662894,1-113900394,,Salford,North West,2019-12-06T00:00:00Z,http://www.cqc.org.uk/location/1-113900394,,Caring for adults over 65 yrs,Residential homes,Coveleaf Limited
Lynwood Lodge,20 Broad Road,,Sale,,M33 2AL,1616761595.0,1-101727743,1-10122564722,,Trafford,North West,2019-05-07T23:00:00Z,http://www.cqc.org.uk/location/1-10122564722,,"Dementia,Caring for adults over 65 yrs",Residential homes,Making Space
Woodbury Short Stay and Shared Lives Scheme,Whalley Road,Whitefield,Manchester,Lancashire,M45 8WZ,1612536000.0,1-2172329725,1-2232757995,,Bury,North West,2019-04-25T23:00:00Z,http://www.cqc.org.uk/location/1-2232757995,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Residential homes,Homecare agencies,Shared lives",Persona Care and Support Limited
Meadow Bank House,Green Lane,Great Lever,Bolton,Lancashire,BL3 2EF,1204366258.0,1-305829465,1-320472399,http://www.hc-one.co.uk/homes/meadowbank-house,Bolton,North West,2018-12-22T00:00:00Z,http://www.cqc.org.uk/location/1-320472399,,Caring for adults over 65 yrs,Nursing homes,HC-One Limited
Smithy Bridge Court,4 Barke Street,,Littleborough,,OL15 8QN,1706582407.0,1-10046679919,1-10404763622,http://www.towerviewcare.com,Rochdale,North West,,http://www.cqc.org.uk/location/1-10404763622,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,St Augustine Ltd
Stamford House Care Home,3 Stamford Street,,Rochdale,Lancashire,OL16 5DS,1706645401.0,1-101718642,1-136476508,,Rochdale,North West,2020-11-26T00:00:00Z,http://www.cqc.org.uk/location/1-136476508,,Caring for adults over 65 yrs,Residential homes,Antonipillai Gnanabalan
