CCG,DATE,RATE,LL,UL
BOLTON,2017-02-01,80.0,71.3,87.5
BOLTON,2017-03-01,80.3,71.4,87.7
BOLTON,2017-04-01,79.6,70.8,87.0
BOLTON,2017-05-01,78.8,70.2,86.2
BOLTON,2017-06-01,78.7,70.1,86.0
BOLTON,2017-07-01,78.3,69.8,85.6
BOLTON,2017-08-01,78.6,70.0,86.0
BOLTON,2017-09-01,78.5,69.9,85.7
BOLTON,2017-10-01,78.8,70.1,86.2
BOLTON,2017-11-01,79.0,70.3,86.3
BOLTON,2017-12-01,78.8,70.2,86.1
BOLTON,2018-01-01,77.7,69.2,84.9
BOLTON,2018-02-01,77.2,68.8,84.4
BOLTON,2018-03-01,77.2,68.8,84.4
BOLTON,2018-04-01,76.8,68.4,83.9
BOLTON,2018-05-01,75.9,67.6,83.0
BOLTON,2018-06-01,75.8,67.5,82.9
BOLTON,2018-07-01,75.7,67.5,82.8
BOLTON,2018-08-01,75.5,67.3,82.6
BOLTON,2018-09-01,76.0,67.7,83.1
BOLTON,2018-10-01,76.0,67.8,83.2
BOLTON,2018-11-01,76.5,68.1,83.6
BOLTON,2018-12-01,75.6,67.4,82.7
BOLTON,2019-01-01,75.8,67.6,82.9
BOLTON,2019-02-01,75.9,67.7,83.0
BOLTON,2019-03-01,76.9,68.6,84.1
BOLTON,2019-04-01,76.4,68.1,83.5
BOLTON,2019-05-01,76.2,67.9,83.3
BOLTON,2019-06-01,75.1,66.9,82.1
BOLTON,2019-07-01,74.7,66.6,81.7
BOLTON,2019-08-01,75.3,67.1,82.3
BOLTON,2019-09-01,75.2,67.1,82.3
BOLTON,2019-10-01,74.7,66.6,81.7
BOLTON,2019-11-01,74.5,66.4,81.5
BOLTON,2019-12-01,75.5,67.3,82.6
BOLTON,2020-01-01,74.5,66.4,81.5
BOLTON,2020-02-01,74.8,66.7,81.8
BOLTON,2020-03-01,75.0,66.9,82.0
BOLTON,2020-04-01,72.1,64.2,78.8
BOLTON,2020-05-01,70.5,62.8,77.1
BOLTON,2020-06-01,70.3,62.6,76.9
BOLTON,2020-07-01,70.1,62.5,76.7
BOLTON,2020-08-01,70.7,63.0,77.3
BOLTON,2020-09-01,71.0,63.3,77.7
BOLTON,2020-10-01,70.6,62.9,77.2
BOLTON,2020-11-01,71.2,63.5,77.9
BOLTON,2020-12-01,71.3,63.6,77.9
BOLTON,2021-01-01,70.9,63.1,77.5
BURY,2017-02-01,84.4,74.9,92.6
BURY,2017-03-01,84.6,75.1,92.9
BURY,2017-04-01,85.3,75.8,93.6
BURY,2017-05-01,85.0,75.4,93.3
BURY,2017-06-01,84.3,74.9,92.6
BURY,2017-07-01,84.6,75.1,92.8
BURY,2017-08-01,85.3,75.7,93.5
BURY,2017-09-01,84.9,75.4,93.1
BURY,2017-10-01,85.2,75.7,93.4
BURY,2017-11-01,86.3,76.7,94.6
BURY,2017-12-01,85.9,76.2,94.1
BURY,2018-01-01,86.6,77.0,95.0
BURY,2018-02-01,87.1,77.3,95.4
BURY,2018-03-01,86.1,76.4,94.3
BURY,2018-04-01,85.6,76.1,93.8
BURY,2018-05-01,85.1,75.6,93.4
BURY,2018-06-01,84.8,75.4,92.9
BURY,2018-07-01,91.7,81.5,100.6
BURY,2018-08-01,85.0,75.5,93.2
BURY,2018-09-01,83.8,74.4,91.9
BURY,2018-10-01,83.1,73.9,91.1
BURY,2018-11-01,84.0,74.6,92.1
BURY,2018-12-01,83.8,74.5,92.0
BURY,2019-01-01,82.4,73.2,90.4
BURY,2019-02-01,82.1,73.0,90.1
BURY,2019-03-01,81.9,72.8,89.9
BURY,2019-04-01,82.7,73.5,90.6
BURY,2019-05-01,83.1,73.9,91.1
BURY,2019-06-01,82.6,73.4,90.5
BURY,2019-07-01,83.2,74.0,91.1
BURY,2019-08-01,83.5,74.3,91.4
BURY,2019-09-01,83.8,74.6,91.7
BURY,2019-10-01,83.6,74.5,91.5
BURY,2019-11-01,83.1,74.0,91.0
BURY,2019-12-01,82.9,73.8,90.8
BURY,2020-01-01,83.2,74.0,91.1
BURY,2020-02-01,83.2,74.0,91.1
BURY,2020-03-01,82.0,73.0,89.8
BURY,2020-04-01,79.5,70.7,87.1
BURY,2020-05-01,77.5,68.9,85.0
BURY,2020-06-01,76.3,67.9,83.6
BURY,2020-07-01,76.2,67.8,83.5
BURY,2020-08-01,76.1,67.7,83.4
BURY,2020-09-01,75.7,67.4,83.0
BURY,2020-10-01,76.2,67.8,83.5
BURY,2020-11-01,76.1,67.7,83.4
BURY,2020-12-01,75.6,67.3,82.8
BURY,2021-01-01,75.0,66.7,82.1
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-02-01,67.8,60.0,74.5
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-03-01,67.9,60.2,74.7
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-04-01,67.0,59.3,73.7
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-05-01,66.9,59.2,73.5
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-06-01,67.3,59.6,73.9
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-07-01,67.4,59.7,74.1
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-08-01,68.4,60.6,75.2
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-09-01,68.4,60.6,75.1
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-10-01,67.7,59.9,74.3
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-11-01,67.5,59.8,74.2
"HEYWOOD, MIDDLETON AND ROCHDALE",2017-12-01,66.4,58.8,73.0
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-01-01,67.1,59.4,73.7
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-02-01,67.2,59.5,73.8
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-03-01,67.0,59.4,73.7
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-04-01,66.9,59.2,73.5
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-05-01,66.8,59.1,73.4
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-06-01,67.6,59.8,74.2
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-07-01,67.6,59.9,74.3
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-08-01,67.9,60.2,74.6
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-09-01,67.7,60.0,74.4
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-10-01,67.8,60.1,74.5
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-11-01,68.5,60.7,75.3
"HEYWOOD, MIDDLETON AND ROCHDALE",2018-12-01,68.5,60.8,75.3
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-01-01,68.1,60.3,74.8
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-02-01,67.5,59.9,74.2
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-03-01,69.1,61.2,75.9
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-04-01,69.1,61.3,75.9
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-05-01,69.4,61.5,76.2
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-06-01,69.9,62.0,76.7
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-07-01,70.7,62.7,77.6
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-08-01,70.4,62.5,77.3
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-09-01,70.4,62.5,77.3
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-10-01,69.2,61.4,75.9
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-11-01,68.7,60.9,75.5
"HEYWOOD, MIDDLETON AND ROCHDALE",2019-12-01,68.6,60.8,75.4
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-01-01,67.5,59.8,74.1
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-02-01,68.3,60.6,75.1
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-03-01,68.1,60.3,74.7
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-04-01,65.6,58.1,72.0
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-05-01,64.6,57.2,71.0
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-06-01,63.4,56.2,69.7
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-07-01,63.3,56.1,69.6
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-08-01,62.4,55.3,68.6
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-09-01,62.4,55.3,68.6
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-10-01,62.1,54.9,68.3
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-11-01,61.7,54.7,67.9
"HEYWOOD, MIDDLETON AND ROCHDALE",2020-12-01,61.9,54.8,68.1
"HEYWOOD, MIDDLETON AND ROCHDALE",2021-01-01,61.2,54.1,67.3
MANCHESTER,2017-02-01,75.6,67.5,82.6
MANCHESTER,2017-03-01,75.6,67.5,82.5
MANCHESTER,2017-04-01,75.4,67.3,82.3
MANCHESTER,2017-05-01,75.9,67.8,82.9
MANCHESTER,2017-06-01,76.3,68.1,83.3
MANCHESTER,2017-07-01,75.9,67.7,82.7
MANCHESTER,2017-08-01,76.5,68.3,83.5
MANCHESTER,2017-09-01,76.4,68.3,83.4
MANCHESTER,2017-10-01,76.0,67.9,83.0
MANCHESTER,2017-11-01,76.5,68.3,83.4
MANCHESTER,2017-12-01,76.6,68.4,83.6
MANCHESTER,2018-01-01,76.1,67.9,83.0
MANCHESTER,2018-02-01,76.3,68.1,83.3
MANCHESTER,2018-03-01,77.3,69.0,84.4
MANCHESTER,2018-04-01,78.0,69.6,85.1
MANCHESTER,2018-05-01,78.7,70.2,85.8
MANCHESTER,2018-06-01,79.1,70.7,86.4
MANCHESTER,2018-07-01,79.7,71.2,86.9
MANCHESTER,2018-08-01,79.9,71.4,87.2
MANCHESTER,2018-09-01,79.7,71.2,87.1
MANCHESTER,2018-10-01,79.2,70.7,86.4
MANCHESTER,2018-11-01,79.7,71.1,87.0
MANCHESTER,2018-12-01,78.8,70.4,86.0
MANCHESTER,2019-01-01,78.7,70.2,85.9
MANCHESTER,2019-02-01,78.7,70.3,85.9
MANCHESTER,2019-03-01,80.3,71.7,87.6
MANCHESTER,2019-04-01,79.8,71.3,87.1
MANCHESTER,2019-05-01,79.7,71.2,86.9
MANCHESTER,2019-06-01,79.6,71.1,86.9
MANCHESTER,2019-07-01,80.8,72.1,88.3
MANCHESTER,2019-08-01,81.3,72.6,88.7
MANCHESTER,2019-09-01,81.0,72.3,88.4
MANCHESTER,2019-10-01,79.3,70.8,86.6
MANCHESTER,2019-11-01,80.0,71.4,87.3
MANCHESTER,2019-12-01,78.8,70.3,86.0
MANCHESTER,2020-01-01,78.6,70.1,85.7
MANCHESTER,2020-02-01,78.6,70.1,85.8
MANCHESTER,2020-03-01,78.9,70.3,86.1
MANCHESTER,2020-04-01,75.6,67.4,82.5
MANCHESTER,2020-05-01,74.3,66.2,81.1
MANCHESTER,2020-06-01,73.7,65.7,80.5
MANCHESTER,2020-07-01,73.8,65.7,80.5
MANCHESTER,2020-08-01,73.6,65.6,80.4
MANCHESTER,2020-09-01,73.7,65.7,80.6
MANCHESTER,2020-10-01,73.7,65.7,80.5
MANCHESTER,2020-11-01,73.0,65.0,79.7
MANCHESTER,2020-12-01,72.3,64.5,79.0
MANCHESTER,2021-01-01,71.9,64.0,78.5
OLDHAM,2017-02-01,82.4,73.2,90.3
OLDHAM,2017-03-01,82.2,73.0,90.1
OLDHAM,2017-04-01,82.1,72.9,90.0
OLDHAM,2017-05-01,81.8,72.6,89.8
OLDHAM,2017-06-01,81.6,72.4,89.5
OLDHAM,2017-07-01,80.9,71.9,88.7
OLDHAM,2017-08-01,80.4,71.4,88.1
OLDHAM,2017-09-01,80.0,71.1,87.7
OLDHAM,2017-10-01,80.8,71.7,88.5
OLDHAM,2017-11-01,80.8,71.8,88.5
OLDHAM,2017-12-01,79.9,71.0,87.6
OLDHAM,2018-01-01,79.2,70.3,86.9
OLDHAM,2018-02-01,79.2,70.3,86.8
OLDHAM,2018-03-01,78.9,70.1,86.5
OLDHAM,2018-04-01,79.8,70.9,87.5
OLDHAM,2018-05-01,80.0,71.0,87.6
OLDHAM,2018-06-01,80.0,71.0,87.7
OLDHAM,2018-07-01,80.1,71.2,87.7
