0
"{'Name': 'Under 75 mortality rate from all causes', 'DataSource': 'Public Health England (based on ONS source data)'}"
"{'Name': 'Smoking attributable mortality', 'DataSource': 'ONS mortality file, ONS LSOA single year of age population estimates and smoking status from Integrated Household Survey/Annual Population Survey, relative risks from The Information Centre for Health and Social Care, Statistics on Smoking, England 2010.'}"
"{'Name': 'QOF Total List Size', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Learning disability: QOF prevalence', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Stroke: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Hypertension: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Epilepsy: QOF prevalence (18+)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Diabetes: QOF prevalence (17+)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Dementia: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Personalised Care Adjustment (PCA) rate for dementia indicators', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'COPD: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'CKD: QOF prevalence (18+)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Heart Failure: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Personalised Care Adjustment (PCA) rate for heart failure indicators', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'CHD: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Cancer: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Personalised Care Adjustment (PCA) rate for cancer indicator', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Atrial fibrillation: QOF prevalence', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Asthma: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Personalised Care Adjustment (PCA) rate for asthma indicators', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Palliative/supportive care: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Total QOF points', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': '% aged 65+ years', 'DataSource': 'NHS digital. Extract from GP Payments system (Open Exeter)'}"
"{'Name': 'GP registered population by sex and quinary age band', 'DataSource': 'NHS digital'}"
"{'Name': '% reporting a long-term back problem', 'DataSource': 'GP Patient Survey (GPPS)'}"
"{'Name': '% reporting good overall experience of making appointment', 'DataSource': 'GP patient survey'}"
"{'Name': '% with a long-standing health condition', 'DataSource': 'GP patient survey'}"
"{'Name': '% with caring responsibility', 'DataSource': 'GP patient survey'}"
"{'Name': 'Working status - Paid work or full-time education', 'DataSource': 'GP patient survey'}"
"{'Name': 'Working status - Unemployed', 'DataSource': 'GP patient survey'}"
"{'Name': '% reporting blindness or partial sight', 'DataSource': 'GP patient survey'}"
"{'Name': '% reporting deafness or hearing loss', 'DataSource': 'GP patient survey'}"
"{'Name': 'Long-term mental health problems (GP Patient Survey): % of respondents', 'DataSource': 'DH, GP patient survey'}"
"{'Name': '% reporting cancer in the last 5 years', 'DataSource': 'GP patient survey'}"
"{'Name': ""% reporting Alzheimer's disease or dementia"", 'DataSource': 'GP patient survey'}"
"{'Name': '% reporting arthritis or long-term joint problem', 'DataSource': 'GP Patient Survey (GPPS)'}"
"{'Name': '% aged 0 to 4 years', 'DataSource': 'NHS digital. Extract from GP Payments system (Open Exeter)'}"
"{'Name': '% aged 5 to 14 years', 'DataSource': 'NHS digital. Extract from GP Payments system (Open Exeter)'}"
"{'Name': '% aged 75+ years', 'DataSource': 'NHS digital. Extract from GP Payments system (Open Exeter)'}"
"{'Name': '% aged 85+ years', 'DataSource': 'NHS digital. Extract from GP Payments system (Open Exeter)'}"
"{'Name': '% aged under 18 years', 'DataSource': 'NHS digital. Extract from GP Payments system (Open Exeter)'}"
"{'Name': 'Life expectancy - MSOA based', 'DataSource': 'PHE, based on ONS mortality data'}"
"{'Name': 'Estimated prevalence of CHD (all ages) - retired', 'DataSource': 'ERPHO'}"
"{'Name': 'Estimated prevalence of CVD (all ages) - retired', 'DataSource': 'ERPHO'}"
"{'Name': 'Estimated prevalence of COPD (all ages) - retired', 'DataSource': 'ERPHO'}"
"{'Name': 'Estimated prevalence of hypertension (all ages) - retired', 'DataSource': 'ERPHO'}"
"{'Name': 'Estimated prevalence of stroke (all ages) - retired', 'DataSource': 'ERPHO'}"
"{'Name': 'Children in care immunisations', 'DataSource': 'Department for Education (DfE)'}"
"{'Name': 'Depression: Recorded prevalence (aged 18+)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'Heart failure w LVD: QOF prevalence (all ages)', 'DataSource': 'Quality and Outcomes Framework (QOF), NHS Digital'}"
"{'Name': 'People aged 65-74 registered blind or partially sighted', 'DataSource': 'NHS Digital and Office for National statistics (ONS)'}"
"{'Name': 'People aged 75+ registered blind or partially sighted', 'DataSource': 'NHS Digital and Office for National Statistics (ONS)'}"
"{'Name': 'Percentage of people aged 65+ receiving winter fuel payments', 'DataSource': 'PHE, based on Department for Work and Pensions (DWP) and Office for National Statistics (ONS) data'}"
"{'Name': 'Permanent admissions to residential and nursing care homes per 100,000 aged 65+', 'DataSource': 'Adult Social Care Outcomes Framework (ASCOF), NHS Digital'}"
"{'Name': 'Smoking attributable deaths from heart disease', 'DataSource': 'ONS mortality file, ONS mid-year population estimates and smoking status from Integrated Household Survey/Annual Population Survey, relative risks from The Information Centre for Health and Social Care, Statistics on Smoking, England 2010.'}"
"{'Name': 'Smoking attributable deaths from stroke', 'DataSource': 'ONS mortality file, ONS mid-year population estimates and smoking status from Integrated Household Survey/Annual Population Survey, relative risks from The Information Centre for Health and Social Care, Statistics on Smoking, England 2010.'}"
"{'Name': 'Mortality rate from lung cancer', 'DataSource': 'Public Health England (based on ONS source data)'}"
"{'Name': 'Mortality rate from chronic obstructive pulmonary disease', 'DataSource': 'Public Health England (based on ONS source data)'}"
"{'Name': 'Lung cancer registrations', 'DataSource': 'PHE -  National Cancer Registration and Analysis Service retrieved from the Cancer Analysis System (CAS)'}"
"{'Name': 'Oral cancer registrations', 'DataSource': 'PHE -  National Cancer Registration and Analysis Service retrieved from the Cancer Analysis System (CAS)'}"
"{'Name': 'Smoking attributable hospital admissions', 'DataSource': 'NHS Digital - Hospital Episode Statistics (HES), Office for National Statistics (ONS) - mid-year population estimates and ONS Integrated Household survey/Annual Population Survey. Indicator calculated by PHE Population Health Analysis Team.'}"
"{'Name': 'Cost per capita of smoking attributable hospital admissions', 'DataSource': 'NHS Digital - Hospital Episode Statistics (HES) and Office for National Statistics (ONS) - mid-year population estimates'}"
"{'Name': 'Smokers that have successfully quit at 4 weeks', 'DataSource': 'Population Health Analysis Team, Public Health England'}"
"{'Name': 'Smokers that have successfully quit at 4 weeks (CO validated)', 'DataSource': 'Risk Factor Intelligence, Public Health England'}"
"{'Name': 'Completeness of NS-SEC recording by Stop Smoking Services', 'DataSource': 'NHS Digital'}"
"{'Name': 'Ethnicity estimates', 'DataSource': 'Census 2011(Ethnicity by LSOA); HSCIC: Numbers of Patients Registered at a GP Practice - April 2015 (Patients by LSOA)'}"
"{'Name': 'Percentage people living in 20% most deprived areas in England', 'DataSource': 'Department for Communities and Local Government (DCLG)'}"
"{'Name': '% satisfied with phone access', 'DataSource': 'GP patient survey'}"
"{'Name': 'Spend: Total Public Health', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Sexual health services - STI testing and treatment', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Sexual health services - Contraception', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Sexual health services - Advice, prevention and promotion', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: NHS health check programme', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Health protection - Local authority role in health protection', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: National child measurement programme', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Public health advice', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Obesity - adults', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Obesity - children', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Physical activity - adults', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Physical activity - children', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Substance misuse - Drug misuse - adults', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Substance misuse - Alcohol misuse - adults', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Substance misuse - Preventing and reducing harm from drug misuse in adults', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Substance misuse - Preventing and reducing harm from alcohol misuse in adults', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Substance misuse - (drugs and alcohol) - youth services', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Smoking and tobacco - Stop smoking services and interventions', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Smoking and tobacco - Wider tobacco control', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Children 5-19 public health programmes', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Childrens 0-5 services (prescribed)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Childrens 0-5 services (non-prescribed)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Health at work', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Public mental health', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Miscellaneous public health services - other', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Total Education services', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Early years', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Primary schools', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Secondary schools', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Special schools and alternative provision', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Post-16 provision', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Other education and community budget', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: DFE s251 RO Net Expenditure', 'DataSource': 'https://www.gov.uk/government/collections/section-251-materials'}"
"{'Name': 'Spend: DFE s251 RO Early Years', 'DataSource': 'https://www.gov.uk/government/collections/section-251-materials'}"
"{'Name': 'Spend: DFE s251 RO Primary Schools', 'DataSource': 'https://www.gov.uk/government/collections/section-251-materials'}"
"{'Name': 'Spend: DFE s251 RO Secondary Schools', 'DataSource': 'https://www.gov.uk/government/collections/section-251-materials'}"
"{'Name': 'Spend: DFE s251 RO SEN / Special schools', 'DataSource': 'https://www.gov.uk/government/collections/section-251-materials'}"
"{'Name': 'Spend: DFE s251 RO AP / PRUs', 'DataSource': 'https://www.gov.uk/government/collections/section-251-materials'}"
"{'Name': 'Spend: Total Children Social Care', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': ""Spend: Children's social care: Sure start children's centres/flying start and early years"", 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': ""Spend: Children's social care: Children looked after"", 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': ""Spend: Children's social care: Other children and family services"", 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': ""Spend: Children's social care: Family support services"", 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': ""Spend: Children's social care: Youth justice"", 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': ""Spend: Children's social care: Safeguarding children and young people's services"", 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': ""Spend: Children's social care: Asylum seekers"", 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': ""Spend: Children's social care: Services for young people"", 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Total Adult Social Care', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Physical support - adults (18-64)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Physical support - older people (65+)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Sensory support - adults (18-64)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Sensory support - older people (65+)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Support with memory and cognition - adults (18-64)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Support with memory and cognition - older people (65+)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Learning disability support - adults (18-64)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Learning disability support - older people (65+)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Mental health support - adults (18-64)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Mental health support - older people (65+)', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Social support: Substance misuse support', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Social support: Asylum seeker support', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
"{'Name': 'Spend: Social support: Support for carer', 'DataSource': 'https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing'}"
