TOTAL_QUANTITY,PRACTICE_NAME,PCO_NAME,CHEMICAL_SUBSTANCE_BNF_DESCR,YEAR_MONTH,BNF_DESCRIPTION
56.0,DICKENSON ROAD MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,CHEETHAM HILL PRIMARY CARE CENTRE,NORTH MANCHESTER CCG,Galantamine,201401,Galantamine 8mg modified-release capsules
56.0,CORKLAND ROAD MEDICAL PRACTICE,CENTRAL MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
84.0,BARLOW MEDICAL CENTRE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
30.0,WEST POINT MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
56.0,AL-SHIFA MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
30.0,GORTON MEDICAL CENTRE,CENTRAL MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 4.6mg/24hours transdermal patches
84.0,WILBRAHAM SURGERY,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
56.0,BOWLAND MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
56.0,MANCHESTER MEDICAL,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
112.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,DIDSBURY MEDICAL CENTRE - DR WHITAKER,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
56.0,KINGSWAY MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Galantamine,201401,Galantamine 16mg modified-release capsules
70.0,CONRAN MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
50.0,CONRAN MEDICAL CENTRE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg/ml oral solution sugar free
7.0,DRS HANIF &  BANNURU,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
30.0,NEW COLLEGIATE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 9.5mg/24hours transdermal patches
5.0,FLORENCE HOUSE MEDICAL PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
42.0,MAULDETH MEDICAL CENTRE,SOUTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
42.0,FLORENCE HOUSE MEDICAL PRACTICE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
28.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 1.5mg capsules
56.0,CORNISHWAY GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
84.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,DROYLSDEN RD FAMILY PRACTICE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
364.0,ST GEORGE'S MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
50.0,FERNCLOUGH SURGERY,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg/ml oral solution sugar free
84.0,NORTHENDEN GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
28.0,NORTHERN MOOR MEDICAL PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,VALENTINE MEDICAL CENTRE,NORTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 6mg capsules
200.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Galantamine,201401,Galantamine 20mg/5ml oral solution sugar free
56.0,SIMPSON MEDICAL PRACTICE,NORTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
84.0,THE AVENUE MEDICAL CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 5mg tablets
28.0,TREGENNA GROUP PRACTICE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 10mg tablets
28.0,THE NEVILLE FAMILY CENTRE,NORTH MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
56.0,THE MAPLES MEDICAL CENTRE,SOUTH MANCHESTER CCG,Rivastigmine,201401,Rivastigmine 6mg capsules
84.0,THE ROBERT DARBISHIRE PRACTICE,CENTRAL MANCHESTER CCG,Donepezil hydrochloride,201401,Donepezil 10mg tablets
11.0,THE PARK MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
364.0,THE BORCHARDT MEDICAL CENTRE,SOUTH MANCHESTER CCG,Memantine hydrochloride,201401,Memantine 20mg tablets
